customer_id,customer_name,city,signup_date
C00001,Aisha Bello,Lagos,2026-01-12
C00002,David Okafor,Abuja,2026-02-03
C00003,Amaka Nwosu,Port Harcourt,2026-02-18
C00004,John Smith,Lagos,2026-03-01
C00005,Fatima Yusuf,Kano,2026-03-15
C00006,Emeka Obi,Enugu,2026-03-22
C00007,Grace Adebayo,Ibadan,2026-04-05
C00008,Michael Brown,Lagos,2026-04-10
C00009,Zainab Ali,Kaduna,2026-04-18
C00010,Daniel Peters,Abeokuta,2026-05-02
C00011,Ifeoma Okeke,Onitsha,2026-05-11
C00012,Chinedu Eze,Owerri,2026-05-20
C00013,Sarah Johnson,Lagos,2026-06-01
C00014,Ahmed Ibrahim,Sokoto,2026-06-09
C00015,Tolu Martins,Ibadan,2026-06-17
C00016,James Wilson,Abuja,2026-07-01
C00017,Yetunde Ogunleye,Akure,2026-07-08
C00018,Peter Njoroge,Nairobi,2026-07-15
C00019,Ngozi Uche,Port Harcourt,2026-08-03
C00020,Victor Adeyemi,Lagos,2026-08-20
C00010,Daniel Peters,Abeokuta,2026-05-02
C00013,Sarah Johnson,Lagos,2026-06-01
C00021,Aisha Bello,Lagos,2026-01-12
C00022,Michael Brown,Lagos,2026-04-10
C00023,Bintu Chidi,Kano,2024-07-17
C00024,Nonso Nze,Warri,2023-07-29
C00025,Sopuruchi Vincent,Ojo,2023-03-07
C00026,Hauwa Williams,Osogbo,2024-04-21
C00027,Obiageli Adanza,Kano,2026-02-23
C00028,Bello Nwamba,Alimosho,2024-03-27
C00029,Aisha Abdulsalam,Gusau,2023-01-14
C00030,Priscilla Akinpelu,Surulere,2024-07-23
C00031,Obi Ladi,Surulere,2023-07-29
C00032,Yemi Okeke,Benin City,2025-01-05
C00033,Remi Adanza,Awka,2023-03-30
C00034,Ngozi Nwajuaku,Maiduguri,2025-02-14
C00035,Uche Nwamaka,Damaturu,2026-07-11
C00036,Afolake Ali,Yola,2023-05-23
C00037,Lara Ogbu,Damaturu,2023-06-13
C00038,Kunle Zubair,Apapa,2024-07-23
C00039,Yetunde Ibrahim,Aba,2025-01-28
C00040,Titilayo Jide,Abakaliki,2026-08-20
C00041,Segun Adebimpe,Bauchi,2025-12-29
C00042,Nonso Smith,Somolu,2025-02-16
C00043,Valentine Nwaneri,Lafia,2024-10-26
C00044,Obinna Ogbu,Ibadan,2024-10-08
C00045,Victor Egbu,Onitsha,2024-03-08
C00046,Chukwunonso Sani,Osogbo,2025-10-19
C00047,Ngozi Olayemi,Uyo,2024-06-26
C00048,Kayode Udoh,Ilaro,2024-06-22
C00049,Kudirat Akinwumi,Festac,2025-01-11
C00050,Hadiza Leke,Remo,2025-10-07
C00051,Yemi Lawal,Jos,2023-11-10
C00052,Amope Rauf,Ojo,2026-05-06
C00053,Quadri Nnaji,Apapa,2026-05-05
C00054,Odunayo Nwagbara,Umuahia,2026-02-07
C00055,Chiamaka Dikko,Ilaro,2024-06-30
C00056,Dorcas Ejike,Jos,2024-08-24
C00057,John Rauf,Shomolu,2023-01-07
C00058,Tobi Oluwafemi,Gombe,2025-11-05
C00059,Chisom Nwachukwu,Sagamu,2026-06-01
C00060,Bello Philips,Ikorodu,2023-11-27
C00061,Kenechukwu Nwagbara,Lagos,2026-05-11
C00062,Kolade Olusesan,Port Harcourt,2023-08-18
C00063,Veronica Pius,Birnin Kebbi,2023-04-29
C00064,Maryam Nwaobodo,Sokoto,2023-06-25
C00065,Temitope Quadri,Ilaro,2023-09-15
C00066,Hassan Olugbenga,Ipokia,2023-12-05
C00067,Tobi Nwagbara,Ojo,2024-03-09
C00068,Kenechukwu Hussain,Ekiti,2025-03-28
C00069,Efunsetan Aminu,Ifako,2025-11-25
C00070,Tolu Etim,Lokoja,2024-04-05
C00071,Quadri Danjuma,Port Harcourt,2026-04-19
C00072,Ikenna Ogbu,Lafia,2023-01-15
C00073,Segun Okafor,Dutse,2023-05-19
C00074,Ibrahim Bada,Abeokuta,2025-11-18
C00075,Latifat Idowu,Ibeju-Lekki,2024-03-14
C00076,Kenechukwu Isah,Mainland,2024-05-12
C00077,Pelumi Oluwaseun,Yola,2023-07-13
C00078,Zara Akinyele,Badagry,2025-05-17
C00079,Ahmed Olubunmi,Kaduna,2026-08-31
C00080,Ebunola Zubair,Owerri,2025-04-04
C00081,Opeyemi Babatunde,Lokoja,2024-01-28
C00082,Zainab Nwajuaku,Kosofe,2023-10-15
C00083,Daniel Coker,Gusau,2025-08-05
C00084,Ola Suleiman,Ifako,2026-02-01
C00085,Abdullahi Lawal,Ayetoro,2023-01-31
C00086,Yemi Rufai,Bauchi,2025-04-12
C00087,Temitope Olumuyiwa,Osogbo,2025-04-01
